OBJECTID,PARK_ID,FACILITYID,ADDRESS,SURFACE,CAPACITY,HANDICAP,PAY_PARK,PAY_TYPE,LIGHTING,FENCED,Latitude,Longitude
1,563,4979,321 KING EDWARD AVE Old Ottawa,asphalt,12,1,n,none,y,y,45.4308333355,-75.6863166672
2,573,25008,8 LADY GREY DR Old Ottawa,gravel,45,0,y,permit,n,n,45.4344634524,-75.7000510671
3,573,25009,8 LADY GREY DR Old Ottawa,asphalt,45,0,y,permit,y,n,45.4351047465,-75.6995389441
4,159,25010,2100 CABOT ST Old Ottawa,asphalt,28,2,n,none,y,n,45.389278748,-75.6719218484
5,1169,25011,1137 WELLINGTON ST Old Ottawa,gravel,5,2,n,none,y,y,45.402250002,-75.7269166662
6,157,25013,579 BYRON AVE Old Ottawa,asphalt,12,0,n,none,n,n,45.3775500022,-75.7746166672
7,727,25014,190 MORRENA RD Kanata,asphalt,26,2,n,none,n,n,45.2963156387,-75.8854729875
8,5,25015,70 AIRD PL Kanata,asphalt,250,7,n,none,y,n,45.3118403678,-75.8995411867
9,1054,25016,35 STAFFORD RD Nepean,asphalt,15,0,n,none,y,n,45.3286846479,-75.8220806548
10,187,25017,3259 CARLING AVE Nepean,asphalt,200,0,n,none,y,n,45.3514539951,-75.8287434924
11,187,25018,3259 CARLING AVE Nepean,dirt,150,0,n,none,y,y,45.3505403582,-75.8263252441
12,891,4913,345 RICHMOND RD Old Ottawa,asphalt,15,1,n,none,y,n,45.3924556278,-75.7542909056
13,52,4982,945 BANK ST Old Ottawa,asphalt,200,15,y,attendants,y,y,45.39723985,-75.6842931796
14,52,4983,945 BANK ST Old Ottawa,asphalt,1000,0,y,attendants,y,y,45.3987779829,-75.681774076
15,52,4984,945 BANK ST Old Ottawa,asphalt,1000,0,y,attendants,y,y,45.4005054626,-75.6816064488
16,52,25020,945 BANK ST Old Ottawa,asphalt,200,0,y,attendants,y,y,45.3995954039,-75.6857827485
17,52,4981,945 BANK ST Old Ottawa,asphalt,200,0,y,attendants,y,y,45.399257241,-75.6849659785
18,386,25022,681 DEANCOURT CRES Cumberland,asphalt,45,1,n,none,y,n,45.4810472183,-75.4879809219
19,843,25023,1600 PRESTWICK DR Cumberland,asphalt,22,0,n,none,n,n,45.4675376864,-75.498071926
20,1327,25024,499 DES EPINETTES AVE Cumberland,asphalt,26,2,n,none,n,n,45.4638241435,-75.4980181566
21,526,25025,1797 DES EPINETTES AVE Gloucester,asphalt,11,1,n,none,n,n,45.4609632638,-75.5083554744
22,195,25026,6601 CARRIERE ST Gloucester,asphalt,32,0,n,none,n,y,45.4663500025,-75.5237000002
23,476,25027,1410 HENRI LAUZON ST Gloucester,gravel,35,0,n,none,n,y,45.4632500027,-75.5366500006
24,67,25028,1705 ORLEANS BLVD Gloucester,asphalt,100,4,n,none,y,n,45.457216669,-75.5233833336
25,157,25012,579 BYRON AVE Old Ottawa,asphalt,7,0,n,none,n,n,45.3979500025,-75.7313000002
26,1003,25019,960 SILVER ST Old Ottawa,asphalt,18,1,n,none,y,n,45.3803903362,-75.7312025278
27,753,25021,2157 NORTHLANDS DR Cumberland,asphalt,24,0,n,none,n,n,45.4703753272,-75.4761347334
28,501,25029,6250 BEAUSEJOUR DR Gloucester,asphalt,35,1,n,none,n,y,45.4577189192,-75.5317097967
29,1005,25031,1855 SIMARD DR Gloucester,asphalt,14,1,n,none,n,n,45.4424675717,-75.5287375045
30,1219,25038,1490 YOUVILLE DR Gloucester,asphalt,118,0,n,none,y,n,45.467050002,-75.5459833333
31,1157,25046,100 WALTER BAKER PL Kanata,asphalt,220,4,n, ,y,n,45.2950772698,-75.9001234788
32,727,25053,190 MORRENA RD Kanata,asphalt,26,2,n, ,y,n,45.2962139536,-75.8853224875
33,181,4967,2730 CARLING AVE Old Ottawa,asphalt,18,1,n,none,n,n,45.3598613003,-75.7934112105
34,693,25064,1448 MEADOW DR Osgoode,asphalt,85,2,n,none,y,n,45.2613418654,-75.5568334607
35,925,25072,660 RIVER RD Gloucester,asphalt,42,2,n,none,n,n,45.2729333358,-75.6984833331
36,1321,25079,1660 BEARBROOK RD Gloucester,gravel,125,0,n,none,n,y,45.4428697956,-75.5757689426
37,768,25088,3447 OLD ALMONTE ROAD West Carleton,gravel,38,0,n,none,n,y,45.2593159504,-76.0616474875
38,37,25092,2185 ARCH ST Old Ottawa,asphalt,0,2,n,none,n,n,45.3908000021,-75.6306000006
39,444,25096,152 GRANDVIEW RD Nepean,asphalt,14,0,n,none,n,y,45.3611027831,-75.8568821634
40,943,25105,5715 ROCKDALE RD Cumberland,asphalt,49,1,n,none,y,n,45.3557994583,-75.3521694053
41,182,25108,2805 CARLING AVE Old Ottawa,gravel,50,0,n,none,y,n,45.3606082912,-75.7968409972
42,134,4943,100 BREWER WAY Old Ottawa,asphalt,60,0,n,none,y,n,45.3879246336,-75.6907359234
43,220,25112,260 CENTREPOINTE DR Nepean,asphalt,80,0,n,none,n,n,45.3397405782,-75.7705490517
44,783,25119,6160 ORLEANS BLVD Gloucester,asphalt,80,4,n,none,y,n,45.452978881,-75.5356638687
45,137,25128,65 STONEHAVEN DR Kanata,gravel,55,0,n,none,y,n,45.2898554287,-75.8562634622
46,80,25135,1365 HALTON TER Kanata,asphalt,70,0,n,none,y,n,45.3484240727,-75.9374363464
47,681,25142,307 MCARTHUR AVE Vanier,asphalt,200,2,n,none,y,y,45.4333686112,-75.6554809946
48,701,25030,6210 MEADOWGLEN DR Gloucester,asphalt,21,1,n,none,n,n,45.4493833359,-75.5291833338
49,1323,25032,5831 GLADEWOODS PL Gloucester,asphalt,20,2,n,none,n,y,45.4401486551,-75.5325943556
50,343,25033,1485 DUFORD DR Cumberland,asphalt,50,1,n,none,y,n,45.4712005341,-75.508244587
51,1053,25034,1257 JOSEPH DROUIN AVE Gloucester,gravel,100,0,n,none,n,y,45.4758036472,-75.5240892027
52,343,25035,1485 DUFORD DR Cumberland,asphalt,40,0,n,none,n,n,45.4701833359,-75.5082166661
53,1219,25036,1490 YOUVILLE DR Gloucester,asphalt,100,2,n,none,y,n,45.466033336,-75.5434333327
54,1219,25037,1490 YOUVILLE DR Gloucester,asphalt,165,6,n,none,y,n,45.4662666689,-75.5460166664
55,1219,25039,1490 YOUVILLE DR Gloucester,asphalt,10,0,n,none,y,n,45.4672621386,-75.5453560462
56,1309,25040,6026 VOYAGEUR DR Gloucester,asphalt,21,1,n,none,n,n,45.4742155518,-75.5518729802
57,779,25041,6218 VOYAGEUR DR Gloucester,asphalt,4,0,n,none,n,y,45.4784576813,-75.5467416074
58,106,25042,956 BILBERRY DR Gloucester,asphalt,11,0,n,none,n,n,45.4838166687,-75.5335166668
59,581,25043,109 LARCH CRES Cumberland,asphalt,17,1,n,none,y,n,45.4873844811,-75.5216827358
60,1511,25044,998 VALIN ST Cumberland,asphalt,55,1,n,none,y,n,45.4715166694,-75.4624500005
61,1157,25045,100 WALTER BAKER PL Kanata,asphalt,110,8,n, ,y,n,45.2948667377,-75.9008761382
62,1157,25047,100 WALTER BAKER PL Kanata,gravel,150,0,n, ,n,n,45.2970500021,-75.9060000003
63,1163,4963,539 WAVELL AVE Old Ottawa,asphalt,10,0,n, ,n,n,45.3831078687,-75.7662559803
64,690,25048,10 MCKITRICK DR Kanata,paved,0,2,n, ,n,n,45.2934500027,-75.8841999995
65,690,25049,10 MCKITRICK DR Kanata,paved,44,0,n, ,n,n,45.2933763103,-75.8833699709
66,690,25050,10 MCKITRICK DR Kanata,paved,54,2,n, ,y,n,45.2938500026,-75.8836000005
67,1524,25051,75 BRIDLEWOOD DR Kanata,asphalt,18,0,n, ,n,n,45.2936921906,-75.8648543791
68,776,25052,70 CASTLEFRANK RD Kanata,asphalt,15,0,n, ,n,n,45.295150002,-75.8851666663
69,206,25054,170 CASTLEFRANK RD Kanata,gravel,25,0,n, ,n,n,45.2912691008,-75.8769412505
70,881,25055,25 RANGE RD Old Ottawa,asphalt,36,0,n, ,y,n,45.4258114636,-75.6713165114
71,873,25056,33 QUILL ST Old Ottawa,asphalt,28,0,n, ,n,n,45.4254500022,-75.6572499996
72,921,25057,400 NORTH RIVER RD Vanier,asphalt,28,2,y,meters,y,n,45.4308666688,-75.6696500005
73,324,25058,300 DES PERES BLANCS AVE Vanier,asphalt,50,2,n, ,y,n,45.4443333355,-75.6600166664
74,345,4990,2850 DUMAURIER AVE Old Ottawa,asphalt,39,1,n,none,n,n,45.3502278944,-75.7924833457
75,345,25059,2850 DUMAURIER AVE Old Ottawa,asphalt,38,1,n,none,n,n,45.3519000026,-75.7918666663
76,1195,25060,175 WOODRIDGE CRES Nepean,asphalt,8,1,n,none,n,n,45.3512781036,-75.8096346377
77,330,25061,5572 DOCTOR LEACH DR Rideau,gravel,250,0,n, ,y,n,45.2221502478,-75.6861772777
78,926,25062,894 RIVER RD Gloucester,gravel,40,0,n,none,n, ,45.2431000024,-75.692116667
79,693,25063,1448 MEADOW DR Osgoode,gravel,175,0,n,none,y,n,45.2573550243,-75.5663324717
80,693,25065,1448 MEADOW DR Osgoode,gravel,40,0,n,none,n,n,45.2611866594,-75.5560430846
81,377,25066,1841 ELMRIDGE DR Gloucester,asphalt,15,1,n,none,n,n,45.443093202,-75.6038558055
82,271,25067,11 COMBERMERE LANE Gloucester,gravel,26,0,n,none,y,n,45.4595738817,-75.6141997698
83,993,25068,813 SHEFFORD RD Gloucester,asphalt,110,4,n,none,y,n,45.4578059296,-75.5911667555
84,762,25069,2030 OGILVIE RD Gloucester,asphalt,20,2,n,none,y,n,45.4379166695,-75.6017333332
85,762,25070,2030 OGILVIE RD Gloucester,asphalt,70,0,n,none,y,n,45.4372500026,-75.6018499997
86,762,25071,2030 OGILVIE RD Gloucester,asphalt,215,2,n,none,y,n,45.437016669,-75.6010000003
87,1002,25073,4310 SHORELINE DR Gloucester,asphalt,44,4,n,none,y,n,45.2772253199,-75.6869844006
88,923,25074,334 RIVER RD Gloucester,gravel,100,2,n,none,n,n,45.315130746,-75.695992863
89,961,25075,14 RYEBURN DR Gloucester,asphalt,5,0,n,none,n,n,45.283178479,-75.6956296275
90,496,25076,70 FOXFIELD DR Nepean,asphalt,10,1,n,none,n,n,45.2864124334,-75.7494012609
91,430,25077,190 GLEN PARK DR Gloucester,asphalt,90,2,n,none,y,n,45.4300333362,-75.5628833334
92,430,25078,190 GLEN PARK DR Gloucester,asphalt,12,0,n,none,y,n,45.4298330174,-75.56380121
93,513,25080,2436 INNES ROAD Gloucester,gravel,35,1,n,none,n,n,45.4267924316,-75.5717466843
94,1080,25081,7 SYCAMORE DR Nepean,asphalt,15,3,n,none,y,n,45.3191026886,-75.8220653389
95,1080,25082,7 SYCAMORE DR Nepean,asphalt,12,0,n,none,n,n,45.3195000021,-75.8193333336
96,360,25083,2 EATON ST Nepean,asphalt,18,2,n,none,n,n,45.3264252874,-75.8166322271
97,200,25084,50 CASSIDY RD Nepean,asphalt,50,2,n,none,y,n,45.3250333356,-75.8104333337
98,200,25085,50 CASSIDY RD Nepean,gravel,100,0,n,none,n,n,45.3252320849,-75.8087085095
99,1060,25086,3035 STEEPLE HILL CRES Nepean,gravel,15,0,n,none,n,y,45.2529854049,-75.8085906731
100,407,25087,74 FORESTVIEW CRES Nepean,gravel,40,0,n,none,n,n,45.1582425694,-76.0296551161
101,806,4957,3320 PAUL ANKA DR Old Ottawa,asphalt,40,1,n,none,y,n,45.3517474731,-75.6727465156
102,990,25089,3560 WYMAN PL Gloucester,asphalt,11,1,n,none,n,y,45.3456666689,-75.6592333329
103,160,25090,1505 CAHILL DR Old Ottawa,asphalt,24,0,n,none,y,n,45.361646631,-75.6377835638
104,160,4956,1505 CAHILL DR Old Ottawa,asphalt,72,3,n,none,y,n,45.36371282,-75.6351113776
105,631,25091,250 LORRY GREENBERG DR Old Ottawa,gravel,24,0,n,none,n,n,45.3617000024,-75.6324666671
106,1610,4955,4703 NORTHWOODS DRIVE West Carleton,asphalt,12,1,n,none,y,n,45.3629785682,-75.6468159841
107,37,4947,2185 ARCH ST Old Ottawa,asphalt,135,3,n,none,y,n,45.3909666692,-75.6292333332
108,37,25093,2185 ARCH ST Old Ottawa,asphalt,37,4,n,none,y,n,45.3900000028,-75.6294666672
109,1046,25094,1816 ST. LAURENT BLVD Old Ottawa,asphalt,32,1,n,none,y,n,45.4025308293,-75.6268142095
110,968,25095,2850 SANDALWOOD DR Old Ottawa,asphalt,8,0,n,none,n,n,45.3785346066,-75.6483393186
111,1153,114,1265 WALKLEY RD Old Ottawa,asphalt,32,0,n,none,n,n,45.3735853323,-75.6589704925
112,1153,4902,1265 WALKLEY RD Old Ottawa,asphalt,230,7,n,none,y,n,45.3730666695,-75.6598499995
113,553,4998,1615 KILBORN AVE Old Ottawa,gravel,16,0,n,none,n,n,45.3874126795,-75.6551435665
114,597,25097,19 LEEMING DR Nepean,asphalt,10,0,n,none,y,n,45.3499243913,-75.8333480107
115,186,25098,3127 CARLING AVE Nepean,asphalt,96,2,n,none,y,n,45.3494797436,-75.82204637
116,186,25099,3127 CARLING AVE Nepean,asphalt,84,2,n,none,n,y,45.3515182463,-75.8143058298
117,283,25100,61 CORKSTOWN RD Nepean,asphalt,25,2,n,none,n,n,45.3458652343,-75.8274328453
118,744,25101,3659 NAVAN RD Gloucester,gravel,26,0,n,none,n,n,45.4282105602,-75.4915223363
119,744,25102,3659 NAVAN RD Gloucester,asphalt,28,2,n,none,y,n,45.4276666688,-75.4915666664
120,365,25103,6020 EIGHTH LINE RD Gloucester,gravel,55,0,n,none,n,n,45.3654273291,-75.4645840626
121,960,25104,8720 RUSSELL RD Cumberland,asphalt,50,2,n,none,n,n,45.3835801035,-75.3374317403
122,470,4941,2915 HAUGHTON AVE Old Ottawa,asphalt,26,1,n,none,y,n,45.3596139996,-75.8038513527
123,182,25106,2805 CARLING AVE Old Ottawa,asphalt,112,3,n,none,y,n,45.3634255601,-75.8020896247
124,182,25107,2805 CARLING AVE Old Ottawa,asphalt,80,0,n,none,y,n,45.3640542842,-75.7994191372
125,711,4965,2955 MICHELE DR Old Ottawa,asphalt,26,2,n,none,y,n,45.3549399779,-75.8024350095
126,22,25109,950 ALPINE AVE Old Ottawa,asphalt,25,0,n,none,n,n,45.3570596588,-75.7904991771
127,890,4952,40 REID AVE Old Ottawa,asphalt,14,0,n,none,n,n,45.3977134304,-75.7230125434
128,890,25110,40 REID AVE Old Ottawa,asphalt,34,0,n,none,y,y,45.3977443189,-75.7248227381
129,812,25225,435 BRONSON AVE Old Ottawa,asphalt,58,3,n,none,y,n,45.4094666695,-75.7021166665
130,134,4910,100 BREWER WAY Old Ottawa,asphalt,100,0,n,none,n,n,45.3858916423,-75.6888728807
131,134,4986,100 BREWER WAY Old Ottawa,asphalt,115,3,n,none,y,n,45.3896166692,-75.6908000005
132,249,4988,120 CLEGG ST Old Ottawa,asphalt,18,0,n,none,n,n,45.4074797398,-75.6728617967
133,638,4907,690 LYON ST Old Ottawa,asphalt,10,0,n,none,n,n,45.4020626423,-75.6911879636
134,1013,4951,755 SOMERSET ST Old Ottawa,asphalt,13,1,n,none,n,y,45.4103833358,-75.709216666
135,461,4911,172 GUIGUES AVE Old Ottawa,asphalt,30,2,n,none,n,n,45.4321318965,-75.6911119194
136,258,25224,40 COBOURG ST Old Ottawa,asphalt,48,1,n,none,y,n,45.4343747095,-75.6808919223
137,69,25111,2960 BASELINE RD Nepean,asphalt,20,0,n,none,n,y,45.33464222,-75.8019671496
138,101,25113,50 BELLMAN DR Nepean,asphalt,20,3,n,none,y,n,45.3266358533,-75.7829933438
139,613,6008,1404 LEXINGTON ST Old Ottawa,gravel,25,0,n,none,n,y,45.3688579248,-75.7145055859
140,320,25114,1190 DEER PARK RD Nepean,asphalt,15,0,n,none,n,y,45.3617258795,-75.7193678879
141,234,25115,107 CHESTERTON DR Nepean,asphalt,9,1,n,none,y,n,45.3520476028,-75.7193026527
142,234,25116,107 CHESTERTON DR Nepean,asphalt,30,0,n,none,y,n,45.3521011349,-75.7210623692
143,231,25117,37 CHARTWELL AVE Nepean,asphalt,12,1,n,none,y,n,45.3323606634,-75.7667723648
144,569,25118,60 KNOXDALE RD Nepean,asphalt,16,2,n,none,n,n,45.3299833359,-75.7615333336
145,1095,25120,1585 TENTH LINE RD Cumberland,asphalt,175,9,n,none,y,n,45.4712000027,-75.4924000006
146,842,25121,346 KENNEDY LANE Cumberland,asphalt,18,1,n,none,y,n,45.478418104,-75.5042100955
147,268,25122,1295 COLONIAL RD Cumberland,asphalt,80,0,n,none,y,n,45.4214693326,-75.4215436723
148,1019,25123,5495 SOUTH RIVER DR Rideau,asphalt,50,0,n,none,n,n,45.2305205111,-75.6800686959
149,1157,25125,100 WALTER BAKER PL Kanata,asphalt,220,4,n,none,y,n,45.2950772698,-75.9001234788
150,1010,4973,250 SOMERSET ST Old Ottawa,asphalt,43,2,n,none,y,n,45.4226776337,-75.677276388
151,1157,25126,100 WALTER BAKER PL Kanata,gravel,150,0,n,none,n,n,45.2970500021,-75.9060000003
152,825,25127,474 PICKFORD DR Kanata,gravel,20,0,n,none,n,n,45.307715651,-75.8876248041
153,206,25129,170 CASTLEFRANK RD Kanata,asphalt,40,0,n,none,y,n,45.2893585794,-75.8792644623
154,201,25130,4111 KANATA AVE Kanata,asphalt,70,2,n,none,y,n,45.3229969469,-75.9237052096
155,438,25131,400 GOLDRIDGE DRIVE Kanata,gravel,35,0,n,none,n,y,45.3175670605,-75.9235240928
156,164,25132,2500 CAMPEAU DR Kanata,asphalt,30,4,n,none,y,n,45.3213579397,-75.8966570173
157,164,25133,2500 CAMPEAU DR Kanata,asphalt,40,0,n,none,n,n,45.3199530627,-75.896542253
158,164,25134,2500 CAMPEAU DR Kanata,asphalt,150,4,n,none,y,n,45.3219269287,-75.8950243679
159,989,25136,1500 SHEA RD Goulbourn,asphalt,250,4,n,none,y,n,45.2632586173,-75.9067282492
160,374,25137,33 ELM CRES Goulbourn,gravel,35,0,n,none,n,n,45.2497315664,-75.9181620175
161,845,25138,2 PRETTY ST Goulbourn,asphalt,10,1,n,none,n,n,45.258533336,-75.9188999995
162,1176,25139,20 WEST RIDGE DR Goulbourn,gravel,25,0,n,none,n,n,45.2617520686,-75.9415630077
163,241,25140,1800 CITY PARK DR Gloucester,asphalt,22,2,n,none,n,n,45.4287000023,-75.6165500003
164,758,25141,1195 OGILVIE RD Gloucester,asphalt,4,50,n,none,y,n,45.4285418401,-75.6312854608
165,334,4954,201 DONALD ST Old Ottawa,asphalt,50,0,n,none,n,n,45.4281889706,-75.659876265
166,310,25143,119 DARWIN ST West Carleton,asphalt,50,2,n,none,y,n,45.4248166694,-76.2599499994
167,1133,25144,100 CLIFFORD CAMPBELL ST West Carleton,gravel,150,2,n,none,n,y,45.4698760423,-76.2058522907
168,1334,25145,262 LEN PURCELL DR West Carleton,gravel,200,0,n,none,n,n,45.4995000022,-76.0931666671
169,558,25146,3045 KINBURN SIDE RD West Carleton,asphalt,150,1,n,none,n,n,45.3930992402,-76.1870249125
170,1102,25147,1145 THOMAS A. DOLAN PKWY West Carleton,gravel,100,0,n,none,n,n,45.4214000025,-76.0251666672
171,903,25148,1030 RIDDELL DR Kanata,gravel,50,0,n,none,n,n,45.3771500023,-75.955566667
172,506,25150,3302 HUNTLEY RD Goulbourn,gravel,200,0,n,none,n,n,45.1982281713,-75.843642737
173,817,25151,6095 PERTH ST Goulbourn,asphalt,200,2,n,none,y,n,45.1960101807,-75.8381646317
174,752,25152,2778 MUNSTER RD Goulbourn,gravel,40,0,n,none,n,n,45.1680539831,-75.9443771373
