OBJECTID,PARK_ID,FACILITYID,ADDRESS,SURFACE,CAPACITY,HANDICAP,PAY_PARK,PAY_TYPE,LIGHTING,FENCED,Latitude,Longitude
175,734,25153,2890 MUNSTER RD Goulbourn,asphalt,30,0,n,none,n,n,45.1630004604,-75.9383921808
176,734,25154,2890 MUNSTER RD Goulbourn,gravel,30,0,n,none,n,n,45.1638867108,-75.9392453134
177,976,25155,5650 SCOBIE CRES Osgoode,asphalt,25,0,n,none,n,n,45.2298666693,-75.6421333337
178,1331,25156,6485 GREELY WEST DR Osgoode,gravel,10,0,n,none,n,n,45.2494835304,-75.5982341221
179,132,4962,100 BRAEMAR ST Old Ottawa,asphalt,300,0,n,none,n,n,45.4511113695,-75.6561235185
180,653,25157,5660 OSGOODE MAIN ST Osgoode,asphalt,100,2,n,none,y,n,45.147833336,-75.6014166666
181,533,25158,5565 JOELLA CRES Osgoode,gravel,10,0,n,none,n,n,45.1390004063,-75.6044878265
182,589,25159,7950 LAWRENCE ST Osgoode,asphalt,200,4,n,none,y,n,45.1633020352,-75.4542142924
183,914,25160,7818 RIDEAU STREET Osgoode,asphalt,40,0,n,none,y,n,45.1605361298,-75.4623681834
184,339,25161,2567 DOW ST Osgoode,asphalt,150,0,n,none,n,n,45.2380381048,-75.477800811
185,1213,25163,3151 YORKS CORNERS RD Osgoode,asphalt,100,0,n,none,n,n,45.2328833357,-75.4168833334
186,1217,25164,3242 YORKS CORNERS RD Osgoode,asphalt,50,0,n,none,n,n,45.2289248921,-75.4156489473
187,749,25165,5065 NINTH LINE RD Gloucester,gravel,50,1,n,none,n,n,45.3340833361,-75.4944999999
188,364,25166,4825 EIGHTH LINE RD Gloucester,gravel,50,0,n,none,n,n,45.3458969936,-75.5186388551
189,60,25168,3290 LEITRIM RD Gloucester,asphalt,75,2,n,none,n,y,45.3303666692,-75.593616667
190,603,25169,4561 BANK ST Gloucester,asphalt,60,6,n,none,y,n,45.3309232871,-75.5984475067
191,383,25171,100 FABLE ST Nepean,asphalt,6,0,n,none,n,n,45.2778098993,-75.7650877167
192,1070,25172,93 HOULAHAN ST Nepean,asphalt,50,0,n,none,n,n,45.2620128743,-75.7677298123
193,1174,25173,30 WESSEX RD Nepean,asphalt,15,2,n,none,y,y,45.2736583475,-75.7520176452
194,732,25174,280 MOUNTSHANNON DR Nepean,asphalt,12,2,n,none,n,n,45.286251907,-75.7416905903
195,389,25175,4301 FALLOWFIELD RD Nepean,asphalt,50,0,n,none,n,y,45.274533106,-75.7926269473
196,657,25176,110 MALVERN DR Nepean,asphalt,200,10,n,none,y,n,45.2811184362,-75.7616409544
197,628,25178,700 LONGFIELDS DR Nepean,asphalt,100,2,n,none,n,n,45.2812902174,-75.7425335809
198,988,25179,681 SEYTON DR Nepean,asphalt,30,2,n,none,y,n,45.3151333353,-75.8353666661
199,10,25180,3939 ALBION RD Gloucester,gravel,40,1,n,none,n,y,45.3411810273,-75.6352223862
200,1111,25181,3580 TRAPPER'S RD Gloucester,asphalt,15,1,n,none,n,n,45.3470614689,-75.6446120623
201,307,25182,3380 D'AOUST AVE Gloucester,asphalt,50,3,n,none,y,n,45.3500833354,-75.6362000003
202,1031,25183,1735 ST. BERNARD ST Gloucester,asphalt,8,0,n,none,n,n,45.3518093021,-75.6257535079
203,1007,25184,1779 ST. BARBARA ST Gloucester,asphalt,10,0,n,none,n,y,45.3555125746,-75.6250798905
204,964,25185,2999 SABLE RIDGE DR Gloucester,asphalt,25,2,n,none,n,n,45.3561133024,-75.6358787268
205,970,25186,3585 SARSFIELD RD Cumberland,asphalt,44,1,n,none,n,n,45.4406000028,-75.3431999998
206,376,4961,294 ELMGROVE AVENUE Old Ottawa,asphalt,20,0,n,none,y,n,45.394285915,-75.7526657494
207,798,6009,645 PARKVIEW RD Old Ottawa,asphalt,50,0,n,none,n,n,45.387152546,-75.7384080089
208,79,4901,141 BAYVIEW RD Old Ottawa,asphalt,75,3,n,none,y,n,45.4078055524,-75.7219536371
209,1168,4985,40 FAIRMONT AVE Old Ottawa,asphalt,35,4,n,none,n,n,45.4032696952,-75.7242689063
210,793,25188,366 PARKDALE AVE Old Ottawa,asphalt,16,0,y,meters,n,n,45.4015498329,-75.7299385152
211,793,25189,366 PARKDALE AVE Old Ottawa,asphalt,16,0,y,meters,n,n,45.401425581,-75.7305075482
212,223,4989,80 CHAMBERLAIN AVE Old Ottawa,asphalt,15,0,n,none,n,n,45.4061032414,-75.6962626762
213,940,4992,2960 RIVERSIDE DR Old Ottawa,asphalt,112,3,n,none,y,n,45.3694112491,-75.6907829364
214,1186,25190,1 WINDSOR AVE Old Ottawa,asphalt,25,0,n,none,n,n,45.3931928896,-75.6769538806
215,522,4958,320 JACK PURCELL LANE Old Ottawa,asphalt,7,3,n,permit,n,n,45.4155988512,-75.6891215464
216,508,4959,3 HURDMAN RD Old Ottawa,gravel,30,0,n,none,n,y,45.418208914,-75.6687875119
217,660,4980,41 ROBINSON AVE Old Ottawa,asphalt,10,0,n,none,n,y,45.421933336,-75.6686833333
218,658,4972,60 MANN AVE Old Ottawa,asphalt,100,3,n,none,y,n,45.4192361062,-75.6748588781
219,1191,25191,72 MEDHURST DR Nepean,asphalt,20,0,n,none,n,n,45.3358000024,-75.7457666671
220,705,25193,1765 MERIVALE RD Nepean,asphalt,80,4,n,none,n,n,45.3416000022,-75.7272833334
221,269,25194,15 COLONNADE RD Nepean,gravel,50,0,n,none,n,y,45.3443595139,-75.7173074379
222,1207,25195,1701 WOODROFFE AVE Nepean,asphalt,500,10,n,none,y,n,45.3273058293,-75.7437000687
223,1207,25196,1701 WOODROFFE AVE Nepean,asphalt,110,5,n,none,y,n,45.327045793,-75.7465983313
224,449,25223,135 CRAIG HENRY DR Nepean,asphalt,32,2,n,none,y,n,45.3332219592,-75.7739882015
225,1109,4970,2240 TORQUAY AVE Old Ottawa,asphalt,145,4,n,none,y,n,45.3481666693,-75.7744333332
226,393,25197,58 FIELDROW ST Nepean,asphalt,30,0,n,none,n,n,45.3448242763,-75.7376556048
227,518,25198,76 INVERNESS AVE Nepean,asphalt,8,1,n,none,y,n,45.3592500028,-75.7217666668
228,31,4948,1665 APELDOORN AVE Old Ottawa,asphalt,20,4,n,none,n,n,45.3598459029,-75.7026449864
229,889,25199,6047 PRINCE OF WALES DR Rideau,gravel,15,0,n, ,n,n,45.1740116798,-75.7159105627
230,1171,25200,1604 OLD WELLINGTON ST Rideau,asphalt,50,0,n,none,y,n,45.1490268808,-75.6478545023
231,1510,25202,2549 DONNELLY DR Rideau,gravel,10,0,n,none,n,y,45.0655588199,-75.6626644649
232,273,25203,2300 COMMUNITY WAY Rideau,asphalt,60,0,n,none,y,n,45.1305647142,-75.7116427361
233,273,25204,2300 COMMUNITY WAY Rideau,asphalt,40,2,n,none,y,n,45.129749424,-75.711524066
234,273,25205,2300 COMMUNITY WAY Rideau,gravel,100,0,n,none,n,n,45.1307389391,-75.7095492044
235,1314,25206,7747 GREENLINE RD Rideau,gravel,14,0,n,none,n,n,45.0735482879,-75.6432276574
236,1074,4909,260 SUNNYSIDE AVE Old Ottawa,asphalt,0,0,n, ,n, ,45.3945987599,-75.6818863156
237,1159,25209,10 WARNER COLPITTS LANE Goulbourn,asphalt,100,2,n,none,y,y,45.2610083582,-75.9259157557
238,1160,25210,10 WARNER COLPITTS LANE Goulbourn,gravel,50,0,n,none,n,y,45.2592868439,-75.9283587628
239,392,25211,1751 MAIN ST Goulbourn,gravel,10,0,n,none,n,n,45.2500630341,-75.9109140622
240,1620,25212,3412 RICHMOND RD Nepean,asphalt,22,0,n,none,n,n,45.3391336502,-75.8091089847
241,1620,25213,3412 RICHMOND RD Nepean,gravel,30,0,n,none,n,y,45.3411258807,-75.8081260068
242,850,25214,3901 RIDEAU VALLEY DRIVE,gravel,100,0,n,none,n,n,45.2471170261,-75.7098093426
243,713,25216,1140 MILL ST Rideau,asphalt,17,0,n,none,y,n,45.2256725701,-75.6839178727
244,531,25217,3131 JOCKVALE RD Nepean,asphalt,50,2,n,none,y,n,45.2691194989,-75.7508803915
245,1087,25218,44 TARTAN DR Nepean,asphalt,22,1,n,none,n,n,45.2673023704,-75.7612690787
246,311,25219,16 ROWLEY AVE Nepean,asphalt,3,2,n,none,y,n,45.3491532296,-75.7417900129
247,311,25220,16 ROWLEY AVE Nepean,asphalt,15,1,n,none,y,n,45.3492612794,-75.7413453748
248,849,25221,1463 PRINCE OF WALES DR Old Ottawa,asphalt,10,0,n,none,y,n,45.3676401049,-75.7002777905
249,493,4915,804 HOG'S BACK RD Old Ottawa,asphalt,50,0,n,none,y,n,45.3689920102,-75.6994952216
250,1016,25207,5495 SOUTH RIVER DR Rideau,asphalt,50,0,n,none,y,n,45.2302071196,-75.6796267902
251,1607,25227,727 TRIM RD Cumberland,gravel,300,0,y,meters,n,n,45.5050443965,-75.4922664105
252,1608,25228,1046 ST JOSEPH BLVD Innes,gravel,200,0,n,none,y,y,45.4522333359,-75.5768833337
253,992,25229,813 SHEFFORD RD Gloucester,gravel,150,0,n,none,n,n,45.4594541633,-75.5859489477
254,1611,25230,3911 CARP RD West Carleton,asphalt,20,1,n,none,y,n,45.3512833359,-76.0471666666
255,1611,25232,3911 CARP RD West Carleton,gravel,40,0,n,none,n,n,45.352083336,-76.0528333329
256,1614,25233,821 MARCH RD Kanata,gravel,25,0,n,none,y,n,45.3555263863,-75.9339638163
257,186,25234,3127 CARLING AVE Nepean,asphalt,95,2,n,none,y,n,45.350383336,-75.8177166671
258,285,25235,401 CORKSTOWN RD Nepean,gravel,200,0,n,none,y,n,45.3391763451,-75.8535770307
259,1150,25236,250 WALDEN DR Kanata,gravel,50,0,n,none,n,n,45.3331867909,-75.9177237376
260,1157,25237,100 WALTER BAKER PL Kanata,gravel,100,0,n,none,y,y,45.2916579339,-75.9000462133
261,137,25238,65 STONEHAVEN DR Kanata,asphalt,80,3,n,none,y,y,45.2905333359,-75.8568499994
262,1135,25240,8215 VICTORIA ST Osgoode,asphalt,60,0,n,none,y,n,45.2357166688,-75.4740333337
263,532,25241,3435 JOCKVALE RD Nepean,gravel,40,0,n,none,n,n,45.2615293304,-75.731891725
264,1634,25242,52 RIVERSTONE DR Nepean,gravel,80,0,n,none,n,n,45.262005601,-75.7279841132
265,1536,25243,5201 MCLEAN CRES Rideau,gravel,25,0,n,none,n,n,45.2454191048,-75.7019562862
266,925,25244,660 RIVER RD Gloucester,asphalt,54,4,n,none,n,n,45.270833336,-75.699616666
267,60,25245,3290 LEITRIM RD Gloucester,gravel,200,0,n,none,n,n,45.3291885124,-75.5944253799
268,603,25246,4561 BANK ST Gloucester,asphalt,260,2,n,none,y,n,45.3313666686,-75.5967333334
269,1664,25248,7064 DONWEL DRIVE Greely,gravel,6,0,n,none,n,n,45.2525320667,-75.5561899967
270,1631,25249,15 KITTIWAKE DR Goulbourn,asphalt,18,0,n, ,n,y,45.2683032252,-75.9434180146
271,1612,25250,1557 LANDEL DR Kanata,gravel,20,0,n,none,n,y,45.3605488511,-75.9777971948
272,1615,25251,1251 HALTON TER Kanata,asphalt,30,0,n,none,y,n,45.3502298098,-75.9404911748
273,1615,25252,1251 HALTON TER Kanata,asphalt,20,0,n,none,y,n,45.3514320474,-75.9419512899
274,439,25254,67 INSMILL CRES Kanata,asphalt,35,2, , ,y,y,45.3112441558,-75.9297498076
275,1671,25256,96 BRIDLE PARK DRIVE Kanata,asphalt,31,0,n,none,n,n,45.2835585377,-75.8490268553
276,1672,25257,53 BLACK TERN CRESCENT Kanata,asphalt,19,1,n,none,n,n,45.294379819,-75.8543849866
277,1672,25258,53 BLACK TERN CRESCENT Kanata,asphalt,29,2,n,none,n,n,45.2943161996,-75.854167434
278,1573,25260,300 DEN HAAG DR Old Ottawa,asphalt,20,0,n,none,y,y,45.4403463906,-75.6328088196
279,1676,25261,797 SCALA AVE Orleans,asphalt,30,0,n,none,n,n,45.46213376,-75.4689894696
280,1594,25262,2940 BARLOW CRES West Carleton,gravel,4,0,n,none,n,y,45.4629256738,-75.972388587
281,828,25263,270 PINHEY POINT RD Kanata,gravel,12,0,n,none,n,n,45.439683336,-75.9536499998
282,828,25264,270 PINHEY POINT RD Kanata,gravel,4,0,n,none,n,n,45.4420033398,-75.9538467995
283,1006,25265,1730 SIXTH LINE RD Kanata,gravel,15,0,n,none,n,n,45.4067390716,-75.9268126615
284,903,25266,1030 RIDDELL DR Kanata,gravel,20,0,n,none,n,n,45.3767034647,-75.9558108009
285,1538,25267,3806 CARP RD West Carleton,gravel,50,0,n,none,y,n,45.3485069155,-76.0358623191
286,734,25268,2890 MUNSTER RD Goulbourn,gravel,15,0,n,none,n,n,45.1624901181,-75.9393506664
287,165,25271,6301 CAMPEAU DR Kanata,gravel,10,0,n,none,y,n,45.3137455285,-75.9122268534
288,204,25272,146 CASTLEFRANK RD Kanata,gravel,8,0,n,none,n,y,45.2931903456,-75.8757319174
289,1633,25273,80 SAWYER WAY Kanata,asphalt,20,0, , , , ,45.2825748459,-75.8413812651
290,1633,25274,80 SAWYER WAY Kanata,asphalt,20,0, , , , ,45.2827366757,-75.8409849041
291,418,25274,14 FRINGEWOOD DR Goulbourn,asphalt,50,0, , ,y, ,45.2797087772,-75.9110951506
292,1001,25276,4386 SPRATT RD Gloucester,asphalt,15,0,n,none,n,n,45.2754953572,-75.6898137221
293,363,25278,960 EIFFEL AVE Old Ottawa,gravel,5,0,n,none,n,y,45.3681245812,-75.7069916822
294,65,25279,26 BARLYN AVE Nepean,asphalt,4,2,n,none,y,n,45.3644768979,-75.7217459713
295,338,32784,411 DOVERCOURT AVE Old Ottawa,asphalt,80,4,n,none,y,n,45.38322825,-75.7537960642
296,840,25281,130 PRESTON ST Old Ottawa,asphalt,40,2,n,none,y,n,45.4078362442,-75.7152226375
297,403,25282,1900 FLORIDA AVE Old Ottawa,gravel,2,0,n,none,n,y,45.3826276867,-75.6387205076
298,1661,25283,28 CRESTHAVEN DRIVE Nepean,asphalt,30,2,n, ,n, ,45.2839956184,-75.7073495963
299,571,28285,180 KNOXDALE ROAD Nepean,asphalt,200,4, , , ,y,45.3259418562,-75.7709411879
300,1700,25286,5 BEAVERBROOK RD Kanata,asphalt,100,3, , ,y, ,45.328566669,-75.90185
301,541,25149,108 JUANITA AVE West Carleton,gravel,100,4,n,none,y,n,45.3492618328,-76.0400977806
302,942,4960,15 ROCKCLIFFE WAY Old Ottawa,gravel,20,0,n,none,n,n,45.4445722729,-75.6747570629
303,9,25162,2785 8TH LINE RD Osgoode,asphalt,100,0,n,none,y,n,45.230150002,-75.4689666663
304,916,25170,220 STONEWAY DR Nepean,asphalt,10,1,n,none,y,n,45.2882500494,-75.7156011432
305,582,25177,76 LARKIN DR Nepean,asphalt,12,2,n,none,y,n,45.2823525763,-75.7631337321
306,348,25187,1115 DUNNING RD Cumberland,asphalt,105,2,n,none,n,n,45.5139500022,-75.40335
307,940,4966,2960 RIVERSIDE DR Old Ottawa,asphalt,130,0,y,meters,n,n,45.3676166689,-75.6911666663
308,1190,25192,30 WOODFIELD DR Nepean,asphalt,20,1,n,none,n,n,45.3369862256,-75.7299626867
309,255,4987,937 CLYDE AVE Old Ottawa,asphalt,80,2,n,none,y,n,45.3748666688,-75.7468333339
310,826,25201,6836 MALAKOFF RD Rideau,asphalt,20,2,n,none,y,n,45.0913291586,-75.7568692803
311,1501,25208,70 LENNOX STREET Richmond,gravel,10,0,n,none,n,y,45.1881462348,-75.8336740809
312,850,25215,3901 RIDEAU VALLEY DRIVE,gravel,5,0,n,none,n,n,45.2604752212,-75.708158551
313,1530,25222,192 LANGSTAFF DR West Carleton,gravel,100,0,n,none,n,y,45.3494601712,-76.0356331294
314,1611,25231,3911 CARP RD West Carleton,asphalt,100,0,n,none,y,n,45.3503000022,-76.0462999996
315,1302,25239,94 STEEPLE CHASE DR Kanata,asphalt,40,0,n,none, ,n,45.3000233214,-75.8537305055
316,1652,25247,100 GROVEHURST DR Nepean,asphalt,28,2,n,none,n,n,45.2773520389,-75.7115190662
317,1671,25255,96 BRIDLE PARK DRIVE Kanata,asphalt,22,2,n,none,y,n,45.2836850407,-75.8496984925
318,80,25270,1365 HALTON TER Kanata,asphalt,9,0,n,none,n,n,45.3504300373,-75.9367056467
319,583,25277,29 LARKSPUR DR Nepean,asphalt,4,0, , ,y,n,45.3266988415,-75.8134201287
320,1656,25284,36 BERRY GLEN ST Nepean,asphalt,26,2, , , , ,45.2665833359,-75.7127999997
321,1704,25287,591 KOCHAR DR Old Ottawa,asphalt,15,1, , , ,y,45.3589666687,-75.6944500004
322,1678,25296,670 AQUAVIEW DRIVE Cumberland,asphalt,36,3, , , , ,45.4582833353,-75.4682499997
323,1333,25304,2135 TRIM RD Cumberland, ,0,0, , , , ,45.466516681,-75.4488899994
324,115,25002,1471 BLAIR RD Gloucester,asphalt,120,0,n,none,n,n,45.4260666693,-75.5988666664
325,258,4904,40 COBOURG ST Old Ottawa,asphalt,25,1,n,none,y,n,45.4349773721,-75.6816548029
326,2231,25288,591 KOCHAR DR Old Ottawa,gravel,9,0, , , ,y,45.3578305629,-75.7001380029
327,1626,25290,85 HARTSMERE DR Goulbourn,asphalt,30,0, , , , ,45.2480332695,-75.9046793505
328,1716,25291,3035 CONROY RD Old Ottawa,gravel,40,0, , , , ,45.3825421504,-75.618918674
329,1716,25292,3035 CONROY RD Old Ottawa,gravel,40,0, , , , ,45.3824287192,-75.6201256644
330,1716,25293,3035 CONROY RD Old Ottawa,gravel,50,0, , , ,y,45.3792456044,-75.6269224039
331,1716,25294,3035 CONROY RD Old Ottawa,gravel,65,2, , ,y,y,45.3810080867,-75.6239602838
332,1333,25295,2135 TRIM RD Cumberland,gravel,100,0, , , , ,45.4655851461,-75.4479021067
333,1731,25297,1160 MOODIE DR Nepean,gravel,15,0, , , ,y,45.2718985443,-75.8061117622
334,1731,25298,1160 MOODIE DR Nepean,gravel,15,0, , , ,y,45.266433336,-75.8118666662
335,1663,25299,3740 MOUNTAIN MEADOWS CRESCENT Riversid*,asphalt,23,2, , , , ,45.2837405884,-75.6850452794
336,66,25300,2045 HWY 174 Cumberland,asphalt,15,0, , , , ,45.5166744409,-75.4302027032
337,66,25301,2045 HWY 174 Cumberland,asphalt,20,0, , , , ,45.5172333361,-75.4304499995
338,66,25302,2045 HWY 174 Cumberland,gravel,20,0, , , , ,45.5171072578,-75.4313728766
339,1333,25303,2135 TRIM RD Cumberland, ,0,0, , , , ,45.4664368525,-75.4513243921
340,269,25305,15 COLONNADE RD Nepean,gravel,50,0,n,none,n,y,45.3454715849,-75.7152817506
341,425,None,24 GIBBARD AVENUE Nepean,asphalt,None,None,None,None,None,None,45.3234250367,-75.7733634337
342,857,25000,2940 OLD MONTREAL RD Cumberland,gravel,80,3,n,none,n,y,45.5180465444,-75.3914372518
343,481,4908,1480 HERON RD Old Ottawa,asphalt,80,4,n,none,y,n,45.3792500027,-75.6540333328
344,463,25001,4355 HALMONT DR Gloucester,asphalt,65,2,n,none,y,n,45.4285500021,-75.6199833327
345,115,25003,1471 BLAIR RD Gloucester,asphalt,45,2,n,none,n,n,45.4275076344,-75.6001598807
346,766,25004,2379 OGILVIE RD Gloucester,asphalt,11,1,n,none,n,n,45.4542085336,-75.5981056098
347,291,4995,515 COTE ST Old Ottawa,asphalt,210,9,n,none,y,n,45.4360666688,-75.6474166666
348,291,4975,515 COTE ST Old Ottawa,asphalt,24,1,n,none,y,n,45.4366697198,-75.6463534253
349,1028,25005,380 SPRINGFIELD RD Rockcliffe Park,asphalt,28,2,n,none,y,n,45.4508166688,-75.6781999999
350,1574,25007,300 COVENTRY ROAD Old Ottawa,asphalt,1300,25,y,attendants,y,n,45.4206487478,-75.6548588942
